order_id;order_date;customer_id;segment;category;sub_category;sales;quantity;profit
CA-2017-114440;9/14/2017;TB-21520;Consumer;Office Supplies;Paper;1905;3;8763
US-2015-134026;4/26/2015;JE-15745;Consumer;Furniture;Chairs;831936;8;-1143912
US-2015-134026;4/26/2015;JE-15745;Consumer;Furniture;Furnishings;9704;2;1213
US-2015-134026;4/26/2015;JE-15745;Consumer;Office Supplies;Storage;72784;1;-18196
US-2017-118038;12/9/2017;KB-16600;Corporate;Office Supplies;Binders;1248;3;-19344
US-2017-118038;12/9/2017;KB-16600;Corporate;Furniture;Furnishings;9708;3;-58248
US-2017-118038;12/9/2017;KB-16600;Corporate;Office Supplies;Storage;2724;3;2724
US-2014-147606;11/26/2014;JE-15745;Consumer;Furniture;Furnishings;193;5;-14475
CA-2016-127208;6/12/2016;SC-20770;Corporate;Office Supplies;Appliances;20816;1;562032
CA-2016-127208;6/12/2016;SC-20770;Corporate;Office Supplies;Binders;1674;3;80352
CA-2014-139451;10/12/2014;DN-13690;Consumer;Office Supplies;Art;149;5;4172
CA-2014-139451;10/12/2014;DN-13690;Consumer;Office Supplies;Storage;2139;1;62031
CA-2015-149734;9/3/2015;JC-16105;Corporate;Office Supplies;Envelopes;200984;7;628075
US-2017-119662;11/13/2017;CS-12400;Home Office;Office Supplies;Storage;230376;3;-489549
CA-2017-140088;5/28/2017;PO-18865;Consumer;Furniture;Chairs;30196;2;332156
CA-2017-155558;10/26/2017;PG-18895;Consumer;Technology;Accessories;1999;1;67966
CA-2017-155558;10/26/2017;PG-18895;Consumer;Office Supplies;Labels;616;2;29568
CA-2016-159695;4/5/2016;GM-14455;Home Office;Office Supplies;Storage;158368;7;138572
CA-2016-109806;9/17/2016;JS-15685;Corporate;Office Supplies;Art;201;3;6633
CA-2016-109806;9/17/2016;JS-15685;Corporate;Technology;Phones;73584;2;82782
CA-2016-109806;9/17/2016;JS-15685;Corporate;Office Supplies;Paper;648;1;31104
CA-2015-149587;1/31/2015;KB-16315;Consumer;Office Supplies;Paper;1296;2;62208
CA-2015-149587;1/31/2015;KB-16315;Consumer;Furniture;Furnishings;5334;3;165354
CA-2015-149587;1/31/2015;KB-16315;Consumer;Office Supplies;Binders;3296;2;161504
US-2017-109484;11/6/2017;RB-19705;Home Office;Office Supplies;Binders;5682;1;-3788
CA-2017-161018;11/9/2017;PN-18775;Home Office;Furniture;Furnishings;9653;7;405426
CA-2017-157833;6/17/2017;KD-16345;Consumer;Office Supplies;Binders;51312;3;179592
CA-2016-149223;9/6/2016;ER-13855;Corporate;Office Supplies;Appliances;7788;6;225852
CA-2016-158568;8/29/2016;RB-19465;Home Office;Office Supplies;Paper;64624;7;226184
CA-2016-158568;8/29/2016;RB-19465;Home Office;Technology;Accessories;95976;3;-107973
CA-2016-158568;8/29/2016;RB-19465;Home Office;Office Supplies;Binders;1788;3;-30396
CA-2016-129903;12/1/2016;GZ-14470;Consumer;Office Supplies;Paper;2392;4;117208
US-2015-156867;11/13/2015;LC-16870;Consumer;Technology;Accessories;238896;6;-268758
US-2015-156867;11/13/2015;LC-16870;Consumer;Furniture;Furnishings;10236;3;-38385
US-2015-156867;11/13/2015;LC-16870;Consumer;Office Supplies;Binders;36882;3;-258174
CA-2017-119004;11/23/2017;JM-15250;Consumer;Technology;Accessories;74112;8;176016
CA-2017-119004;11/23/2017;JM-15250;Consumer;Technology;Phones;27992;1;20994
CA-2017-119004;11/23/2017;JM-15250;Consumer;Office Supplies;Art;3304;1;10738
CA-2015-129476;10/15/2015;PA-19060;Home Office;Technology;Accessories;33996;5;67992
CA-2017-146780;12/25/2017;CV-12805;Corporate;Furniture;Furnishings;4196;2;109096
CA-2016-128867;11/3/2016;CL-12565;Consumer;Office Supplies;Art;7596;2;22788
CA-2016-128867;11/3/2016;CL-12565;Consumer;Office Supplies;Binders;2724;6;133476
CA-2014-115259;8/25/2014;RC-19960;Consumer;Office Supplies;Fasteners;40096;14;145348
CA-2014-115259;8/25/2014;RC-19960;Consumer;Office Supplies;Envelopes;472;2;1652
CA-2014-115259;8/25/2014;RC-19960;Consumer;Office Supplies;Paper;23976;3;74925
CA-2014-115259;8/25/2014;RC-19960;Consumer;Office Supplies;Envelopes;130464;6;440316
CA-2015-110457;3/2/2015;DK-13090;Consumer;Furniture;Tables;78753;3;1653813
US-2015-136476;4/5/2015;GG-14650;Corporate;Office Supplies;Binders;157794;1;-1157156
CA-2016-103730;6/12/2016;SC-20725;Consumer;Furniture;Furnishings;4704;3;183456
CA-2016-103730;6/12/2016;SC-20725;Consumer;Office Supplies;Binders;3084;4;13878
CA-2016-103730;6/12/2016;SC-20725;Consumer;Office Supplies;Storage;22656;6;634368
CA-2016-103730;6/12/2016;SC-20725;Consumer;Office Supplies;Envelopes;11502;9;51759
CA-2016-103730;6/12/2016;SC-20725;Consumer;Technology;Phones;6804;7;197316
US-2014-152030;12/26/2014;AD-10180;Home Office;Furniture;Chairs;600558;3;-85794
US-2014-134614;9/20/2014;PF-19165;Consumer;Furniture;Tables;6177;6;-407682
US-2017-107272;11/5/2017;TS-21610;Consumer;Office Supplies;Binders;2388;2;-18308
US-2017-107272;11/5/2017;TS-21610;Consumer;Office Supplies;Storage;243992;7;30499
US-2016-125969;11/6/2016;LS-16975;Home Office;Furniture;Chairs;81424;2;-91602
US-2016-125969;11/6/2016;LS-16975;Home Office;Furniture;Furnishings;23856;3;262416
US-2017-164147;2/2/2017;DW-13585;Corporate;Technology;Phones;5997;5;-11994
US-2017-164147;2/2/2017;DW-13585;Corporate;Office Supplies;Paper;78304;2;29364
US-2017-164147;2/2/2017;DW-13585;Corporate;Office Supplies;Fasteners;21456;9;69732
CA-2016-145583;10/13/2016;LC-16885;Consumer;Office Supplies;Paper;2004;3;96192
CA-2016-145583;10/13/2016;LC-16885;Consumer;Office Supplies;Paper;3544;1;166568
CA-2016-145583;10/13/2016;LC-16885;Consumer;Office Supplies;Art;1152;4;3456
CA-2016-145583;10/13/2016;LC-16885;Consumer;Office Supplies;Fasteners;402;2;19698
CA-2016-145583;10/13/2016;LC-16885;Consumer;Office Supplies;Binders;76176;3;266616
CA-2016-145583;10/13/2016;LC-16885;Consumer;Office Supplies;Supplies;6588;6;184464
CA-2016-145583;10/13/2016;LC-16885;Consumer;Furniture;Furnishings;4312;14;206976
CA-2016-110366;9/5/2016;JD-15895;Corporate;Furniture;Furnishings;828;2;1035
CA-2017-106180;9/18/2017;SH-19975;Corporate;Office Supplies;Art;882;3;23814
CA-2017-106180;9/18/2017;SH-19975;Corporate;Office Supplies;Envelopes;1086;3;51042
CA-2017-106180;9/18/2017;SH-19975;Corporate;Office Supplies;Paper;1437;3;68976
CA-2017-155376;12/22/2017;SG-20080;Consumer;Office Supplies;Appliances;83943;3;2182518
CA-2015-110744;9/7/2015;HA-14920;Consumer;Office Supplies;Storage;67193;7;201579
CA-2014-110072;10/22/2014;MG-17680;Home Office;Furniture;Furnishings;93888;4;129096
CA-2016-114489;12/5/2016;JE-16165;Corporate;Technology;Phones;38445;11;1038015
CA-2016-114489;12/5/2016;JE-16165;Corporate;Technology;Phones;14997;3;59988
CA-2016-114489;12/5/2016;JE-16165;Corporate;Furniture;Chairs;195184;8;585552
CA-2016-114489;12/5/2016;JE-16165;Corporate;Office Supplies;Binders;17155;5;806285
CA-2016-158834;3/13/2016;TW-21025;Home Office;Office Supplies;Appliances;15792;5;17766
CA-2016-158834;3/13/2016;TW-21025;Home Office;Technology;Phones;203184;2;152388
CA-2015-124919;5/31/2015;SP-20650;Corporate;Office Supplies;Paper;5838;7;26271
CA-2015-124919;5/31/2015;SP-20650;Corporate;Office Supplies;Paper;10552;4;485392
CA-2015-124919;5/31/2015;SP-20650;Corporate;Office Supplies;Storage;8088;6;210288
CA-2015-118948;5/28/2015;NK-18490;Home Office;Office Supplies;Art;663;3;17901
CA-2014-104269;3/1/2014;DB-13060;Consumer;Furniture;Chairs;457568;2;514764
CA-2016-114104;11/20/2016;NP-18670;Consumer;Office Supplies;Labels;1462;2;68714
CA-2016-114104;11/20/2016;NP-18670;Consumer;Technology;Phones;94493;7;2362325
CA-2016-162733;5/11/2016;TT-21070;Consumer;Office Supplies;Paper;598;1;2691
CA-2015-119697;12/28/2015;EM-13960;Consumer;Technology;Accessories;54384;2;13596
CA-2016-154508;11/16/2016;RD-19900;Consumer;Office Supplies;Envelopes;284;5;13348
CA-2016-113817;11/7/2016;MJ-17740;Consumer;Office Supplies;Binders;2768;2;9688
CA-2014-139892;9/8/2014;BM-11140;Consumer;Office Supplies;Art;9936;3;27324
CA-2014-139892;9/8/2014;BM-11140;Consumer;Technology;Machines;8159952;8;-1359992
CA-2014-139892;9/8/2014;BM-11140;Consumer;Office Supplies;Storage;275928;3;-586347
CA-2014-139892;9/8/2014;BM-11140;Consumer;Furniture;Chairs;174006;9;-24858
CA-2014-139892;9/8/2014;BM-11140;Consumer;Office Supplies;Art;32064;6;68136
CA-2014-139892;9/8/2014;BM-11140;Consumer;Office Supplies;Appliances;17798;5;-453849
CA-2014-139892;9/8/2014;BM-11140;Consumer;Technology;Phones;143976;3;89985
CA-2014-118962;8/5/2014;CS-12130;Consumer;Office Supplies;Paper;2094;3;98418
CA-2014-118962;8/5/2014;CS-12130;Consumer;Office Supplies;Paper;11096;2;532608
CA-2014-118962;8/5/2014;CS-12130;Consumer;Furniture;Chairs;340144;7;21259
US-2014-100853;9/14/2014;JB-15400;Corporate;Office Supplies;Appliances;52448;2;-13112
US-2014-100853;9/14/2014;JB-15400;Corporate;Office Supplies;Labels;2016;4;6552
US-2017-152366;4/21/2017;SJ-20500;Consumer;Office Supplies;Appliances;97264;4;-24316
US-2015-101511;11/21/2015;JE-15745;Consumer;Furniture;Chairs;396802;7;-113372
US-2015-101511;11/21/2015;JE-15745;Consumer;Office Supplies;Supplies;1588;5;-37715
CA-2015-137225;12/15/2015;JK-15640;Home Office;Office Supplies;Art;328;1;14104
CA-2014-166191;12/5/2014;DK-13150;Corporate;Office Supplies;Storage;24816;2;18612
CA-2014-166191;12/5/2014;DK-13150;Corporate;Technology;Accessories;408744;7;766395
CA-2014-158274;11/19/2014;RM-19675;Home Office;Technology;Phones;50396;4;1310296
CA-2014-158274;11/19/2014;RM-19675;Home Office;Technology;Phones;14995;5;41986
CA-2014-158274;11/19/2014;RM-19675;Home Office;Technology;Accessories;29;2;725
CA-2016-105018;11/28/2016;SK-19990;Consumer;Office Supplies;Binders;716;2;34368
CA-2014-123260;8/26/2014;FM-14290;Home Office;Technology;Accessories;1768;8;22984
CA-2016-157000;7/16/2016;AM-10360;Corporate;Office Supplies;Storage;37224;3;37224
CA-2016-157000;7/16/2016;AM-10360;Corporate;Office Supplies;Paper;20016;3;6255
CA-2015-102281;10/12/2015;MP-17470;Home Office;Furniture;Bookcases;899136;4;112392
CA-2015-102281;10/12/2015;MP-17470;Home Office;Technology;Phones;7176;6;200928
CA-2015-102281;10/12/2015;MP-17470;Home Office;Office Supplies;Paper;5184;8;248832
CA-2015-102281;10/12/2015;MP-17470;Home Office;Furniture;Bookcases;626352;3;469764
CA-2015-102281;10/12/2015;MP-17470;Home Office;Office Supplies;Art;199;5;6567
CA-2015-131457;10/31/2015;MZ-17515;Corporate;Office Supplies;Envelopes;1428;7;67116
CA-2014-140004;3/21/2014;CB-12025;Consumer;Office Supplies;Art;7408;2;12038
CA-2014-140004;3/21/2014;CB-12025;Consumer;Office Supplies;Art;6048;3;15876
CA-2017-107720;11/6/2017;VM-21685;Home Office;Office Supplies;Storage;4626;3;120276
US-2017-124303;7/6/2017;FH-14365;Corporate;Office Supplies;Binders;2946;2;-22586
US-2017-124303;7/6/2017;FH-14365;Corporate;Office Supplies;Paper;16056;3;58203
CA-2017-105074;6/24/2017;MB-17305;Consumer;Office Supplies;Paper;21744;3;6795
CA-2014-133690;8/3/2014;BS-11755;Consumer;Furniture;Tables;21875;2;-161875
CA-2014-133690;8/3/2014;BS-11755;Consumer;Office Supplies;Appliances;26;1;2925
US-2017-116701;12/17/2017;LC-17140;Consumer;Office Supplies;Appliances;66284;2;-1789668
CA-2017-126382;6/3/2017;HK-14890;Corporate;Furniture;Furnishings;35168;7;96712
CA-2017-108329;12/9/2017;LE-16810;Consumer;Technology;Phones;444768;4;444768
CA-2017-135860;12/1/2017;JH-15985;Consumer;Office Supplies;Storage;8392;4;58744
CA-2017-135860;12/1/2017;JH-15985;Consumer;Technology;Phones;13198;2;356346
CA-2017-135860;12/1/2017;JH-15985;Consumer;Office Supplies;Binders;1592;4;74824
CA-2017-135860;12/1/2017;JH-15985;Consumer;Office Supplies;Fasteners;5229;9;162099
CA-2017-135860;12/1/2017;JH-15985;Consumer;Office Supplies;Storage;9199;1;36796
CA-2015-101007;2/9/2015;MS-17980;Corporate;Technology;Accessories;208;2;65
CA-2015-146262;1/2/2015;VW-21775;Corporate;Office Supplies;Labels;2368;2;888
CA-2015-146262;1/2/2015;VW-21775;Corporate;Furniture;Bookcases;45245;5;-244323
CA-2015-146262;1/2/2015;VW-21775;Corporate;Technology;Phones;62982;3;-146958
CA-2015-146262;1/2/2015;VW-21775;Corporate;Technology;Machines;1188;9;-9504
CA-2015-146262;1/2/2015;VW-21775;Corporate;Technology;Accessories;89584;2;44792
CA-2016-130162;10/28/2016;JH-15910;Consumer;Office Supplies;Storage;9306;6;260568
CA-2016-130162;10/28/2016;JH-15910;Consumer;Technology;Phones;302376;3;226782
CA-2015-169397;12/24/2015;JB-15925;Consumer;Office Supplies;Fasteners;5584;2;18148
CA-2015-169397;12/24/2015;JB-15925;Consumer;Office Supplies;Paper;22704;6;82302
CA-2015-169397;12/24/2015;JB-15925;Consumer;Office Supplies;Binders;19776;4;-138432
CA-2015-169397;12/24/2015;JB-15925;Consumer;Furniture;Furnishings;72704;4;190848
CA-2015-169397;12/24/2015;JB-15925;Consumer;Technology;Machines;479988;4;-3839904
CA-2015-169397;12/24/2015;JB-15925;Consumer;Office Supplies;Art;27168;2;27168
CA-2015-163055;8/9/2015;DS-13180;Corporate;Office Supplies;Art;22;1;968
CA-2015-163055;8/9/2015;DS-13180;Corporate;Furniture;Tables;62245;5;136939
CA-2015-163055;8/9/2015;DS-13180;Corporate;Office Supplies;Storage;2198;1;2198
US-2015-145436;2/28/2015;VD-21670;Consumer;Furniture;Chairs;161568;2;-282744
US-2015-145436;2/28/2015;VD-21670;Consumer;Furniture;Chairs;389696;8;438408
US-2014-156216;9/13/2014;EA-14035;Corporate;Office Supplies;Binders;18648;7;-12432
US-2017-100930;4/7/2017;CS-12400;Home Office;Furniture;Tables;23386;2;-102048
US-2017-100930;4/7/2017;CS-12400;Home Office;Furniture;Tables;6206145;3;-2482458
US-2017-100930;4/7/2017;CS-12400;Home Office;Office Supplies;Binders;5328;2;-3552
US-2017-100930;4/7/2017;CS-12400;Home Office;Furniture;Furnishings;258072;3;0
US-2017-100930;4/7/2017;CS-12400;Home Office;Technology;Accessories;617976;3;-77247
CA-2017-160514;11/12/2017;DB-13120;Corporate;Office Supplies;Paper;1056;2;4752
CA-2016-157749;6/4/2016;KL-16645;Consumer;Office Supplies;Paper;2592;5;9396
CA-2016-157749;6/4/2016;KL-16645;Consumer;Furniture;Furnishings;41968;5;-356728
CA-2016-157749;6/4/2016;KL-16645;Consumer;Furniture;Furnishings;11688;3;-46752
CA-2016-157749;6/4/2016;KL-16645;Consumer;Technology;Phones;31984;2;111944
CA-2016-157749;6/4/2016;KL-16645;Consumer;Furniture;Tables;177225;5;-120513
CA-2016-157749;6/4/2016;KL-16645;Consumer;Furniture;Furnishings;4044;3;-28308
CA-2016-157749;6/4/2016;KL-16645;Consumer;Office Supplies;Art;7408;2;12038
CA-2014-131926;6/1/2014;DW-13480;Home Office;Furniture;Chairs;200186;7;5805394
CA-2014-131926;6/1/2014;DW-13480;Home Office;Office Supplies;Storage;16672;2;4168
CA-2014-131926;6/1/2014;DW-13480;Home Office;Office Supplies;Paper;4788;6;2394
CA-2014-131926;6/1/2014;DW-13480;Home Office;Office Supplies;Appliances;150325;5;4960725
CA-2014-131926;6/1/2014;DW-13480;Home Office;Office Supplies;Paper;2592;4;124416
CA-2016-154739;12/10/2016;LH-17155;Consumer;Furniture;Chairs;321568;2;281372
CA-2016-145625;9/11/2016;KC-16540;Consumer;Office Supplies;Paper;761;1;35767
CA-2016-145625;9/11/2016;KC-16540;Consumer;Technology;Accessories;334737;13;6360003
CA-2016-146941;12/10/2016;DL-13315;Consumer;Office Supplies;Storage;8058;6;225624
CA-2016-146941;12/10/2016;DL-13315;Consumer;Office Supplies;Envelopes;36192;4;162864
US-2015-159982;11/28/2015;DR-12880;Corporate;Furniture;Furnishings;12132;9;-84924
US-2015-159982;11/28/2015;DR-12880;Corporate;Office Supplies;Storage;82368;2;-195624
US-2015-159982;11/28/2015;DR-12880;Corporate;Office Supplies;Storage;5392;5;4044
US-2015-159982;11/28/2015;DR-12880;Corporate;Technology;Phones;647904;6;566916
CA-2017-163139;12/1/2017;CC-12670;Consumer;Technology;Accessories;2037;3;69258
CA-2017-163139;12/1/2017;CC-12670;Consumer;Office Supplies;Storage;22155;3;66465
CA-2017-163139;12/1/2017;CC-12670;Consumer;Office Supplies;Binders;1752;5;6132
US-2017-155299;6/8/2017;Dl-13600;Corporate;Office Supplies;Appliances;1624;2;-4466
US-2014-106992;9/19/2014;SB-20290;Corporate;Technology;Machines;3059982;3;-509997
US-2014-106992;9/19/2014;SB-20290;Corporate;Technology;Machines;2519958;7;-2519958
CA-2016-125318;6/6/2016;RC-19825;Consumer;Technology;Phones;328224;4;287196
CA-2015-155040;11/10/2015;AH-10210;Consumer;Technology;Accessories;799;2;35156
CA-2017-136826;6/16/2017;CB-12535;Corporate;Office Supplies;Art;14016;3;47304
CA-2016-111010;1/22/2016;PG-18895;Consumer;Office Supplies;Fasteners;756;6;3024
US-2017-145366;12/9/2017;CA-12310;Corporate;Office Supplies;Storage;37208;1;-74416
US-2017-145366;12/9/2017;CA-12310;Corporate;Office Supplies;Envelopes;57576;3;21591
CA-2017-163979;12/28/2017;KH-16690;Corporate;Office Supplies;Storage;72584;4;2104936
CA-2015-155334;7/30/2015;HA-14920;Consumer;Technology;Accessories;20993;7;923692
CA-2015-155334;7/30/2015;HA-14920;Consumer;Furniture;Furnishings;528;3;23232
CA-2015-155334;7/30/2015;HA-14920;Consumer;Office Supplies;Binders;1092;3;4095
CA-2017-118136;9/16/2017;BB-10990;Corporate;Office Supplies;Paper;882;2;40572
CA-2017-118136;9/16/2017;BB-10990;Corporate;Office Supplies;Art;598;1;15548
CA-2017-132976;10/13/2017;AG-10495;Corporate;Office Supplies;Paper;11648;2;40768
CA-2017-132976;10/13/2017;AG-10495;Corporate;Office Supplies;Paper;18176;4;59072
CA-2017-132976;10/13/2017;AG-10495;Corporate;Office Supplies;Storage;59712;6;59712
CA-2017-132976;10/13/2017;AG-10495;Corporate;Office Supplies;Labels;2484;3;8694
US-2015-161991;9/26/2015;SC-20725;Consumer;Office Supplies;Binders;208;5;-3432
US-2015-161991;9/26/2015;SC-20725;Consumer;Technology;Phones;11144;7;37611
CA-2015-130890;11/2/2015;JO-15280;Consumer;Furniture;Tables;103884;5;51942
CA-2015-130883;9/26/2015;TB-21520;Consumer;Office Supplies;Paper;14176;5;47844
CA-2015-130883;9/26/2015;TB-21520;Consumer;Technology;Accessories;2398;5;4796
CA-2015-130883;9/26/2015;TB-21520;Consumer;Office Supplies;Paper;31104;6;108864
CA-2016-112697;12/18/2016;AH-10195;Corporate;Office Supplies;Binders;254058;7;-169372
CA-2016-112697;12/18/2016;AH-10195;Corporate;Office Supplies;Appliances;194528;2;24316
CA-2016-112697;12/18/2016;AH-10195;Corporate;Office Supplies;Supplies;96148;5;-2043145
CA-2016-110772;11/20/2016;NZ-18565;Home Office;Office Supplies;Fasteners;19096;7;66836
CA-2016-110772;11/20/2016;NZ-18565;Home Office;Office Supplies;Labels;18496;8;62424
CA-2016-110772;11/20/2016;NZ-18565;Home Office;Technology;Accessories;255984;2;543966
CA-2016-110772;11/20/2016;NZ-18565;Home Office;Furniture;Bookcases;8697;3;-487032
CA-2014-111451;12/26/2014;KL-16555;Corporate;Furniture;Furnishings;300416;8;788592
CA-2014-111451;12/26/2014;KL-16555;Corporate;Furniture;Chairs;230352;3;201558
CA-2014-111451;12/26/2014;KL-16555;Corporate;Furniture;Furnishings;218352;3;-245646
CA-2014-111451;12/26/2014;KL-16555;Corporate;Office Supplies;Binders;786;5;-6288
CA-2014-111451;12/26/2014;KL-16555;Corporate;Office Supplies;Fasteners;27552;3;92988
CA-2016-142545;10/28/2016;JD-15895;Corporate;Office Supplies;Paper;324;5;15552
CA-2016-142545;10/28/2016;JD-15895;Corporate;Office Supplies;Storage;108248;8;108248
CA-2016-142545;10/28/2016;JD-15895;Corporate;Office Supplies;Paper;5691;3;273168
CA-2016-142545;10/28/2016;JD-15895;Corporate;Furniture;Furnishings;776;4;38024
CA-2016-142545;10/28/2016;JD-15895;Corporate;Office Supplies;Binders;1428;1;65688
US-2017-152380;11/19/2017;JH-15910;Consumer;Furniture;Tables;219075;3;-131445
CA-2015-144253;5/4/2015;AS-10225;Corporate;Furniture;Furnishings;268;2;12864
CA-2014-130960;12/30/2014;KB-16600;Corporate;Office Supplies;Art;984;3;28536
